productOrderName,ProductName,meterCategory,serviceFamily,"inVoice Type (Licenses, Reserved Instances, M365)"
"Azure App Service Premium v3 Plan, P1 v3, AU East, 3 Years","Azure App Service Premium v3 Plan, P1 v3, AU East, 3 Years",Azure App Service,Compute,
Azure plan,Azure plan,,,
Cisco Meraki vMX,Cisco Meraki vMX,Azure Applications,Azure Marketplace Services,
Enterprise Mobility + Security E3,Enterprise Mobility + Security E3,Enterprise Mobility + Security,Office 365 Global,
Enterprise Mobility + Security E5,Enterprise Mobility + Security E5,Enterprise Mobility + Security,Windows Intune,
Exchange Online (Plan 1),Exchange Online (Plan 1),Email,Office 365 Global,
Exchange Online (Plan 2),Exchange Online (Plan 2),Email,Office 365 Global,
Microsoft 365 Business Basic,Microsoft 365 Business Basic,Productivity Suites,Office 365 Global,
Microsoft 365 Business Premium,Microsoft 365 Business Premium,Microsoft 365,Office 365 Global,
Microsoft 365 Business Standard,Microsoft 365 Business Standard,Productivity Suites,Office 365 Global,
Microsoft 365 Copilot,Microsoft 365 Copilot,Microsoft 365,Office 365 Global,
Microsoft 365 E5,Microsoft 365 E5,Productivity Suite,Office 365 Global,
Microsoft 365 E5 (no Teams),Microsoft 365 E5 (no Teams),Productivity Suite,Office 365 Global,
Microsoft Defender for Endpoint P1,Microsoft Defender for Endpoint P1,Microsoft Defender,Office 365 Global,
Microsoft Defender for Endpoint P2,Microsoft Defender for Endpoint P2,Microsoft Defender,Windows Commercial,
Microsoft Defender for Endpoint Server,Microsoft Defender for Endpoint Server,Microsoft Defender,Windows Commercial,
Microsoft Defender for Identity,Microsoft Defender for Identity,Microsoft Defender,Windows Intune,
Microsoft Defender for Office 365 (Plan 1),Microsoft Defender for Office 365 (Plan 1),Microsoft Defender,Office 365 Global,
Microsoft Defender Vulnerability Management,Microsoft Defender Vulnerability Management,Security,Windows Commercial,
Microsoft Defender Vulnerability Management Add-On Server,Microsoft Defender Vulnerability Management Add-On Server,Security,Windows Commercial,
Microsoft Entra ID P1,Microsoft Entra ID P1,Azure Active Directory,Windows Intune,
Microsoft Entra ID P2,Microsoft Entra ID P2,Azure Active Directory,Windows Intune,
Microsoft Entra Internet Access,Microsoft Entra Internet Access,Azure Active Directory,Windows Intune,
Microsoft Intune Plan 1 Device,Microsoft Intune Plan 1 Device,Microsoft Intune,Windows Intune,
Microsoft Stream Plan 2 for Office 365 Add-On,Microsoft Stream Plan 2 for Office 365 Add-On,Video,Office 365 Global,
Microsoft Teams Enterprise,Microsoft Teams Enterprise,Teams,Office 365 Global,
Microsoft Teams Essentials,Microsoft Teams Essentials,Teams,Office 365 Global,
Microsoft Teams Phone Resource Account,Microsoft Teams Phone Resource Account,Calling,Office 365 Global,
Microsoft Teams Phone Standard,Microsoft Teams Phone Standard,Calling,Office 365 Global,
Microsoft Teams Premium,Microsoft Teams Premium,Teams,Office 365 Global,
Microsoft Teams Rooms Pro,Microsoft Teams Rooms Pro,Teams,Office 365 Global,
Monthly Active Users plan,Monthly Active Users plan,SaaS,SaaS,
Office 365 E1,Office 365 E1,Productivity Suites,Office 365 Global,
Office 365 E1 (no Teams),Office 365 E1 (no Teams),Productivity Suites,Office 365 Global,
Office 365 E3,Office 365 E3,Productivity Suites,Office 365 Global,
Office 365 E3 (no Teams),Office 365 E3 (no Teams),Productivity Suites,Office 365 Global,
Office 365 Extra File Storage,Office 365 Extra File Storage,Storage,Office 365 Global,
Office 365 F3,Office 365 F3,Productivity Suites,Office 365 Global,
OneDrive for business (Plan 2),OneDrive for business (Plan 2),Storage,Office 365 Global,
Planner and Project Plan 3,Planner and Project Plan 3,Project,Office 365 Global,
Power Apps Premium,Power Apps Premium,PowerApps,Windows Intune,
Power Automate per user plan,Power Automate per user plan,Power Automate,Windows Intune,
Power Automate Premium,Power Automate Premium,Power Automate,Windows Intune,
Power Automate Process,Power Automate Process,Power Automate,Windows Intune,
Power BI Premium Per User,Power BI Premium Per User,Power BI,Office 365 Global,
Power BI Pro,Power BI Pro,Power BI,Office 365 Global,
"Premium SSD Managed Disks, P30, AU East, 1 Year","Premium SSD Managed Disks, P30, AU East, 1 Year",Storage,Storage,
"Premium SSD Managed Disks, P30, AU Southeast, 1 Year","Premium SSD Managed Disks, P30, AU Southeast, 1 Year",Storage,Storage,
"Premium SSD Managed Disks, P40, AU Southeast, 1 Year","Premium SSD Managed Disks, P40, AU Southeast, 1 Year",Storage,Storage,
RADIUSaaS (M),RADIUSaaS (M),SaaS,SaaS,
"Reserved VM Instance, Standard_B16ms, AU East, 1 Year","Reserved VM Instance, Standard_B16ms, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_B2als_v2, AU East, 1 Year","Reserved VM Instance, Standard_B2als_v2, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_B2als_v2, AU East, 3 Years","Reserved VM Instance, Standard_B2als_v2, AU East, 3 Years",Virtual Machines,Compute,
"Reserved VM Instance, Standard_B2as_v2, AU East, 1 Year","Reserved VM Instance, Standard_B2as_v2, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_B2as_v2, AU East, 3 Years","Reserved VM Instance, Standard_B2as_v2, AU East, 3 Years",Virtual Machines,Compute,
"Reserved VM Instance, Standard_B2ms, AU East, 1 Year","Reserved VM Instance, Standard_B2ms, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_B2s, AU East, 1 Year","Reserved VM Instance, Standard_B2s, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_B2s, AU East, 3 Years","Reserved VM Instance, Standard_B2s, AU East, 3 Years",Virtual Machines,Compute,
"Reserved VM Instance, Standard_B4as_v2, AU East, 1 Year","Reserved VM Instance, Standard_B4as_v2, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_B4ms, AU East, 1 Year","Reserved VM Instance, Standard_B4ms, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_D2_v3, AU East, 1 Year","Reserved VM Instance, Standard_D2_v3, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_D2as_v5, AU East, 1 Year","Reserved VM Instance, Standard_D2as_v5, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_D2as_v5, AU East, 3 Years","Reserved VM Instance, Standard_D2as_v5, AU East, 3 Years",Virtual Machines,Compute,
"Reserved VM Instance, Standard_D2ds_v5, AU East, 1 Year","Reserved VM Instance, Standard_D2ds_v5, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_D2s_v3, AU East, 1 Year","Reserved VM Instance, Standard_D2s_v3, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_D2s_v4, AU East, 1 Year","Reserved VM Instance, Standard_D2s_v4, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_D2s_v4, AU East, 3 Years","Reserved VM Instance, Standard_D2s_v4, AU East, 3 Years",Virtual Machines,Compute,
"Reserved VM Instance, Standard_D2s_v4, AU Southeast, 1 Year","Reserved VM Instance, Standard_D2s_v4, AU Southeast, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_D4ds_v4, AU East, 3 Years","Reserved VM Instance, Standard_D4ds_v4, AU East, 3 Years",Virtual Machines,Compute,
"Reserved VM Instance, Standard_D4s_v3, AU East, 1 Year","Reserved VM Instance, Standard_D4s_v3, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_D4s_v4, AU East, 1 Year","Reserved VM Instance, Standard_D4s_v4, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_D4s_v4, AU Southeast, 1 Year","Reserved VM Instance, Standard_D4s_v4, AU Southeast, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_D8s_v5, AU East, 1 Year","Reserved VM Instance, Standard_D8s_v5, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_DS12_v2, AU East, 1 Year","Reserved VM Instance, Standard_DS12_v2, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_E2ads_v5, AU East, 1 Year","Reserved VM Instance, Standard_E2ads_v5, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_E2as_v5, AU East, 3 Years","Reserved VM Instance, Standard_E2as_v5, AU East, 3 Years",Virtual Machines,Compute,
"Reserved VM Instance, Standard_E2bds_v5, AU Southeast, 1 Year","Reserved VM Instance, Standard_E2bds_v5, AU Southeast, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_E2ds_v5, AU East, 1 Year","Reserved VM Instance, Standard_E2ds_v5, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_E2s_v3, AU East, 1 Year","Reserved VM Instance, Standard_E2s_v3, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_E2s_v5, AU East, 3 Years","Reserved VM Instance, Standard_E2s_v5, AU East, 3 Years",Virtual Machines,Compute,
"Reserved VM Instance, Standard_E32-8ads_v5, AU East, 1 Year","Reserved VM Instance, Standard_E32-8ads_v5, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_E4ads_v5, AU East, 1 Year","Reserved VM Instance, Standard_E4ads_v5, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_E4ads_v5, AU Southeast, 1 Year","Reserved VM Instance, Standard_E4ads_v5, AU Southeast, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_E4as_v5, AU East, 1 Year","Reserved VM Instance, Standard_E4as_v5, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_E4ds_v5, AU East, 1 Year","Reserved VM Instance, Standard_E4ds_v5, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_E4s_v4, AU East, 1 Year","Reserved VM Instance, Standard_E4s_v4, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_E4s_v4, AU East, 3 Years","Reserved VM Instance, Standard_E4s_v4, AU East, 3 Years",Virtual Machines,Compute,
"Reserved VM Instance, Standard_F1s, AU East, 1 Year","Reserved VM Instance, Standard_F1s, AU East, 1 Year",Virtual Machines,Compute,
"Reserved VM Instance, Standard_F8s_v2, AU East, 3 Years","Reserved VM Instance, Standard_F8s_v2, AU East, 3 Years",Virtual Machines,Compute,
SharePoint (Plan 2),SharePoint (Plan 2),Storage,Office 365 Global,
SharePoint advanced management plan 1,SharePoint advanced management plan 1,Sharepoint,Office 365 Global,
"SQL Managed Instance General Purpose - Compute Gen5, vCore, AU Southeast, 1 Year","SQL Managed Instance General Purpose - Compute Gen5, vCore, AU Southeast, 1 Year",SQL Managed Instance,Databases,
SQL Server Standard 2022- 2 Core License Pack - 1 year,SQL Server Standard 2022- 2 Core License Pack - 1 year,,,
"Storage Reserved Capacity, Hot - 100 TB, GRS, AU East, 3 Years","Storage Reserved Capacity, Hot - 100 TB, GRS, AU East, 3 Years",Storage,Storage,
Visio Plan 2,Visio Plan 2,Visio,Office 365 Global,
Windows 11 Pro Upgrade,Windows 11 Pro Upgrade,,,
Windows Server 2022 Datacenter - 8 Core License Pack 1 Year,Windows Server 2022 Datacenter - 8 Core License Pack 1 Year,,,
Windows Server 2022 Standard - 8 Core License Pack 1 Year,Windows Server 2022 Standard - 8 Core License Pack 1 Year,,,
Windows Server 2022 Standard - 8 Core License Pack 3 Year,Windows Server 2022 Standard - 8 Core License Pack 3 Year,,,
